index,minSPR,maxSPR,meanSPR,minRF,maxRF,meanRF,minCID,maxCID,meanCID,comparison
1,0,0,0,0,0,0,0,0,0,MPmol_MPte
2,0,0.05461057807784213,0.029953597209956297,0,0.07575757575757576,0.038416010437954014,0,0.038168301419205374,0.021795041657991985,MPmol_MPte
3,0,0,0,0,0,0,0,0,0,MPmol_MPte
4,0.07473454137937023,0.2615708948277958,0.1702286775863433,0.20689655172413793,0.3448275862068966,0.2835249042145594,0.17105052468973844,0.2465916345425669,0.2135493131536682,MPmol_MPte
5,0.0859906500329341,0.0859906500329341,0.0859906500329341,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06161860484578426,0.06161860484578426,0.06161860484578426,MPmol_MPte
6,0.0603764321918376,0.100627386986396,0.08050190958911681,0.0673076923076923,0.11538461538461539,0.09134615384615385,0.06769149346805965,0.09154977375541763,0.07978890674249299,MPmol_MPte
7,0.09511140048637277,0.12681520064849702,0.11269891006536141,0.17647058823529413,0.23529411764705882,0.2211249463288965,0.15475786458021376,0.17129108657726794,0.16313426097810815,MPmol_MPte
8,0.17069674479506558,0.1896630497722951,0.17592325497344985,0.26785714285714285,0.2857142857142857,0.2727780032467532,0.17843048969816702,0.18846439380365151,0.18119551440905338,MPmol_MPte
9,0.031703800162124256,0.06340760032424851,0.04227173354949901,0.08823529411764706,0.11764705882352941,0.09803921568627451,0.0868075399566912,0.12449183991564322,0.10653730748991332,MPmol_MPte
10,0.08966299606609776,0.17932599213219552,0.12800428939606537,0.1111111111111111,0.2777777777777778,0.19626926196269262,0.08715119652011306,0.1802187755279391,0.13412912944277058,MPmol_MPte
11,0.09500957342895443,0.09500957342895443,0.09500957342895443,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.054879461973870704,0.054879461973870704,0.054879461973870704,MPmol_MPte
12,0.1829604746279699,0.2613721066113856,0.2308786941733906,0.36585365853658536,0.4878048780487805,0.4268292682926829,0.2761318375062718,0.396562948433328,0.34325640529476276,MPmol_MPte
13,0,0.08966299606609776,0.05977533071073184,0,0.16666666666666666,0.08333333333333333,0,0.06458908166391492,0.03629933485254605,MPmol_MPte
14,0.10786125808871556,0.1258381344368348,0.12090688678836668,0.22033898305084745,0.23728813559322035,0.2326388034734693,0.17862674990310476,0.18366459811201444,0.1822826629719797,MPmol_MPte
15,0.32172929167153197,0.34854006597749293,0.3293895129018065,0.575,0.625,0.6,0.33136666755215566,0.3467573388731924,0.339789820912699,MPmol_MPte
16,0,0,0,0,0,0,0,0,0,MPmol_MPte
17,0.10125653050554106,0.13500870734072143,0.12938334453485803,0.125,0.1875,0.16666666666666666,0.11055989900238264,0.1250341283385426,0.11807950203302134,MPmol_MPte
18,0.0471939740178411,0.0471939740178411,0.0471939740178411,0.06741573033707865,0.06741573033707865,0.06741573033707865,0.05712952083888458,0.05712952083888458,0.05712952083888458,MPmol_MPte
19,0.02130865584798874,0.1065432792399437,0.0749749002058863,0.04,0.14,0.09703703703703703,0.015214971414017214,0.07175577716033572,0.04737517599394974,MPmol_MPte
20,0.11533470853467404,0.14993512109507623,0.13463109246259064,0.23076923076923078,0.31868131868131866,0.28106508875739644,0.14658201561361084,0.17683470131244725,0.16266912675083298,MPmol_MPte
21,0.13005017626220144,0.13005017626220144,0.13005017626220144,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.10832159257276966,0.10832159257276966,0.10832159257276966,MPmol_MPte
22,0.026137210661138558,0.026137210661138558,0.026137210661138558,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.08218020873424499,0.08218020873424499,0.08218020873424499,MPmol_MPte
